xs,acc_av,acc_std,time_av,time_std
5,100.0,0.0,1.7619632168,0.018611705721127927
10,100.0,0.0,1.8790985166,0.02455645038886149
15,100.0,0.0,1.9890986249,0.013799543023280302
20,100.0,0.0,1.9827193459999999,0.01341862276101283
25,100.0,0.0,1.9904331539,0.012960566406395282
30,100.0,0.0,2.0263757331,0.020768590155135696
35,100.0,0.0,1.9876477707,0.011404918983647162
40,100.0,0.0,2.021475075,0.013561998627379349
45,100.0,0.0,2.0686245624,0.01173977313745867
50,100.0,0.0,2.1170542915999997,0.03169658680182152
55,100.0,0.0,2.1132909959,0.014206934369398566
60,100.0,0.0,2.1360024459,0.026081126377417635
65,100.0,0.0,2.1066406331,0.012270262739178597
70,100.0,0.0,2.1539160125,0.01691760956715418
75,99.475,0.3641771546926021,2.1613781666,0.030936395583298623
80,99.275,0.4002256308078671,2.1707155666999998,0.013109723497410793
85,99.53,0.2459900630332687,2.2008643501,0.023820250821059742
90,99.78,0.14836142056178528,2.2211090416,0.03409395484441003
95,99.205,0.2378666760089687,2.5410250792,0.08759250057685376
100,99.45,0.26119384032213,2.2564767957,0.0238421200697588
