xs,acc_av,acc_std,time_av,time_std
1,100.0,0.0,0.4118878125,0.011449841845835168
100,100.0,0.0,0.8087709749,0.11022156655150085
200,97.55485294117648,2.445147058823529,0.8550718838,0.028131957779192758
400,100.0,0.0,1.5139596373,0.05836325074923593
800,100.0,0.0,3.2006476211,0.18478403371663893
1500,100.0,0.0,4.7429955709,0.5321205855165623
3000,99.99919972550585,0.0008002744941506989,7.3149174376,1.1576570573322122
6000,99.9971395201992,0.0006340871498292825,7.828607325,1.2880141363886122
12000,99.99876990048688,0.0003435545362201484,22.5610895999,6.5692234977604445
25000,99.99903996085835,8.021129564484946e-05,19.140300295699998,4.275267564901538
50000,99.99946998942977,6.420605533028696e-05,51.6651975292,3.2797159089626975
100000,97.54973499772498,2.4500816674501724,45.968405591599996,7.470000624361239
200000,99.999874999445,3.593986142029791e-05,54.6112144958,5.3887855042
400000,99.99996999994,1.3333359999271005e-05,60.0,0.0
800000,99.99997999999,8.164969892109173e-06,60.0,0.0
1500000,99.999979999985,1.105542049118768e-05,60.0,0.0
3000000,99.999995,5.000000000165982e-06,60.0,0.0
